side,label,mfe,mae,hw,arm
1,BOUNCE,0.0,-3.0,12.0,3
-1,BOUNCE,1.0,-1.0,12.0,2
-1,BOUNCE,3.0,0.0,12.0,3
-1,BOUNCE,2.0,-0.0,12.0,0
-1,BOUNCE,2.0,0.0,12.0,1
-1,BOUNCE,-0.0,-1.0,12.0,3
-1,BOUNCE,0.0,-2.0,12.0,1
-1,BOUNCE,-0.0,-1.0,12.0,0
1,BOUNCE,0.0,-3.0,12.0,1
1,BOUNCE,5.0,0.0,12.0,2
1,BOUNCE,0.0,-3.0,12.0,2
1,BOUNCE,0.0,-2.0,12.0,3
1,BOUNCE,0.0,-3.0,12.0,1
-1,BOUNCE,2.0,-1.0,12.0,2
-1,BOUNCE,-0.0,-1.0,12.0,2
1,BOUNCE,1.0,0.0,12.0,2
1,BOUNCE,1.0,-1.0,12.0,3
1,BOUNCE,2.0,0.0,12.0,1
1,BOUNCE,0.0,-1.0,12.0,1
-1,BOUNCE,3.0,0.0,12.0,3
1,BOUNCE,1.0,0.0,12.0,3
1,BOUNCE,2.0,0.0,12.0,2
1,BOUNCE,0.0,-2.0,12.0,2
1,BOUNCE,1.0,-1.0,12.0,3
1,BOUNCE,2.0,0.0,12.0,1
1,BOUNCE,3.0,0.0,12.0,0
1,BOUNCE,3.0,0.0,12.0,0
1,BOUNCE,1.0,0.0,12.0,1
1,BOUNCE,1.0,-1.0,12.0,3
1,BOUNCE,1.0,0.0,12.0,2
1,BOUNCE,1.0,0.0,12.0,0
1,BOUNCE,1.0,-1.0,12.0,1
1,BOUNCE,1.0,-1.0,12.0,3
1,BOUNCE,0.0,-2.0,12.0,0
1,BOUNCE,1.0,-1.0,12.0,2
-1,BOUNCE,0.0,-2.0,12.0,1
-1,BOUNCE,0.0,-3.0,12.0,0
1,BOUNCE,1.0,0.0,12.0,1
1,BOUNCE,3.0,-1.0,12.0,3
1,BOUNCE,1.0,-1.0,12.0,0
-1,BOUNCE,0.0,-3.0,12.0,3
1,BOUNCE,2.0,0.0,12.0,2
1,BOUNCE,1.0,-1.0,12.0,3
1,BOUNCE,0.0,-1.0,12.0,1
1,BOUNCE,2.0,0.0,12.0,0
1,BOUNCE,1.0,-1.0,12.0,2
1,BOUNCE,3.0,0.0,12.0,3
1,BOUNCE,5.0,-1.0,12.0,0
1,BOUNCE,5.0,0.0,12.0,0
1,BOUNCE,1.0,-1.0,12.0,0
1,BOUNCE,5.0,0.0,12.0,1
-1,BOUNCE,4.0,0.0,12.0,2
-1,BOUNCE,1.0,-1.0,12.0,1
-1,BOUNCE,1.0,-1.0,12.0,0
1,BOUNCE,1.0,0.0,12.0,1
1,BOUNCE,2.0,0.0,12.0,3
1,BOUNCE,0.0,-1.0,12.0,2
1,BOUNCE,2.0,0.0,12.0,1
1,BOUNCE,3.0,0.0,12.0,0
1,BOUNCE,4.0,0.0,12.0,3
1,BOUNCE,2.0,0.0,12.0,3
1,BOUNCE,1.0,0.0,12.0,1
-1,BOUNCE,2.0,-0.0,12.0,2
-1,BOUNCE,-0.0,-1.0,12.0,3
-1,BOUNCE,1.0,-1.0,12.0,1
1,BOUNCE,1.0,-1.0,12.0,0
1,BOUNCE,0.0,-1.0,12.0,2
1,BOUNCE,2.0,-1.0,12.0,3
1,BOUNCE,0.0,-3.0,12.0,0
1,BOUNCE,0.0,-3.0,12.0,1
-1,BOUNCE,2.0,0.0,12.0,0
-1,BOUNCE,2.0,0.0,12.0,2
-1,BOUNCE,4.0,-0.0,12.0,0
-1,BOUNCE,7.0,0.0,12.0,1
1,BOUNCE,3.0,0.0,12.0,3
1,BOUNCE,0.0,-3.0,12.0,2
-1,BOUNCE,11.0,-1.0,12.0,1
-1,BOUNCE,0.0,-3.0,12.0,1
-1,BOUNCE,9.0,0.0,12.0,1
-1,BOUNCE,3.0,-1.0,12.0,1
-1,BOUNCE,4.0,-0.0,12.0,1
-1,BOUNCE,-0.0,-1.0,12.0,1
-1,BOUNCE,1.0,-1.0,12.0,1
-1,BOUNCE,2.0,-0.0,12.0,1
-1,BOUNCE,0.0,-2.0,12.0,1
-1,BOUNCE,3.0,0.0,12.0,3
1,BOUNCE,1.0,-1.0,12.0,3
1,BOUNCE,0.0,-2.0,12.0,0
1,BOUNCE,0.0,-1.0,12.0,1
1,BOUNCE,0.0,-2.0,12.0,3
-1,BOUNCE,2.0,0.0,12.0,0
-1,BOUNCE,3.0,0.0,12.0,2
-1,BOUNCE,1.0,-1.0,12.0,3
-1,BOUNCE,2.0,0.0,12.0,2
-1,BOUNCE,1.0,-0.0,12.0,0
1,BOUNCE,2.0,-1.0,12.0,0
1,BOUNCE,5.0,0.0,12.0,2
-1,BOUNCE,1.0,-1.0,12.0,1
1,BOUNCE,1.0,-1.0,12.0,1
1,BOUNCE,0.0,-3.0,12.0,2
-1,BOUNCE,-0.0,-1.0,12.0,2
-1,BOUNCE,2.0,0.0,12.0,3
-1,BOUNCE,1.0,-0.0,12.0,0
-1,BOUNCE,-0.0,-1.0,12.0,1
-1,BOUNCE,-0.0,-1.0,12.0,3
-1,BOUNCE,0.0,-3.0,12.0,0
1,BOUNCE,4.0,0.0,12.0,0
-1,BOUNCE,1.0,-1.0,12.0,2
-1,BOUNCE,0.0,-2.0,12.0,1
-1,BOUNCE,2.0,-1.0,12.0,3
-1,BOUNCE,0.0,-2.0,12.0,2
-1,BOUNCE,1.0,-0.0,12.0,1
-1,BOUNCE,-0.0,-1.0,12.0,0
